Identificador de URL;Nome;Categorias;Preço;Preço promocional;Peso (kg);Largura (cm);Comprimento (cm);Altura (cm);Exibir na loja;Estoque;SKU;Código de barras;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;URL da imagem principal;URLs de imagens adicionais
"the-rustic-100ml-fluy";"The Rustic - FLUY";"Perfumes Masculinos";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-268144009";"";"<p>Há uma masculinidade que não se aprende. Se nasce com ela. O THE RUSTIC foi criado para o homem que carrega essa verdade de forma natural e absolutamente inegável. Não a masculinidade performática que precisa se provar — a masculinidade sólida, enraizada e silenciosamente poderosa de quem sabe exatamente quem é. Amadeirado, especiado e com profundidade &acirc;mbar e incensado que se instala na pele como uma segunda natureza — selvagem na essência, elegante na execução. Amadeirado Intenso – Masculino</p><p><strong>Família Olfativa:</strong> Amadeirado Intenso – Masculino</p><p><strong>Notas de Topo:</strong> Bergamota, Cardamomo, Pimenta Preta</p><p><strong>Notas de Coração:</strong> Couro, Cedro, Patchouli</p><p><strong>Notas de Fundo:</strong> S&acirc, ndalo, Incenso, &Acirc, mbar Seco</p>";"masculinos, amadeirado-intenso-–-masculino, perfume, alta-fixacao, lab-8";"The Rustic - FLUY | Glitz Alta Perfumaria";"Compre The Rustic - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_the_rustic_02-794c16b5fe00f499a317601318199083-1024-1024.webp";""
"perfumes-masculinos-perfume-lab-8-wood-green-100ml";"Perfume Masculino Wood Green Lab 8 Essencial";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334010";"";"<p>A fragrância Perfume Masculino Wood Green 100 ml Lab 8 Essencial da LAB 8 foi desenvolvida com matérias-primas nobres para proporcionar uma experiência olfativa sofisticada e duradoura.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático</p><p><strong>Notas de Topo:</strong> Bergamota, Cardamomo, Pimenta Rosa</p><p><strong>Notas de Coração:</strong> Lavanda, Íris, Cedro</p><p><strong>Notas de Fundo:</strong> Âmbar, Fava Tonka, Almíscar</p>";"masculinos, amadeirado-aromático, perfume, alta-fixacao, lab-8";"Perfume Masculino Wood Green Lab 8 Essencial | Glitz Alta Perfumaria";"Compre Perfume Masculino Wood Green Lab 8 Essencial na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_lab8_woodgreen-0d2aaaddf1e5380ff417615772446799-1024-1024.webp";""
"perfumes-femininos-100ml-perfume-la-vitta-e-bella";"La Vita";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334026";"";"<p>O LA VITA foi criado para a mulher que encontra beleza no cotidiano, que transforma momentos simples em memórias inesquecíveis e que carrega consigo uma alegria de viver que é, em si mesma, uma forma de sedução. Frutada na abertura, floral e sofisticada no coração e com uma base gourmand que envolve a pele como um abraço quente e adocicado — intenso, marcante e absolutamente inesquecível. Floral Frutado – Feminino</p><p><strong>Família Olfativa:</strong> Floral Frutado – Feminino</p><p><strong>Notas de Topo:</strong> Groselha Preta, Pera</p><p><strong>Notas de Coração:</strong> Íris, Jasmim, Flor de Laranjeira</p><p><strong>Notas de Fundo:</strong> Pralinê, Baunilha, Patchouli, Fava Tonka</p>";"femininos, floral-frutado-–-feminino, perfume, alta-fixacao, lab-8";"La Vita | Glitz Alta Perfumaria";"Compre La Vita na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-lavita-lab8-b6ba284aec1769961e17761132062883-1024-1024.webp";""
"enigma-perfeito-100-ml";"Enigma Perfeito";"Linha Árabe";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-279788533";"";"<p>ENIGMA PERFEITO – LAB 8 🌙 Algumas mulheres se explicam. Outras simplesmente existem — e isso é mais do que suficiente. O ENIGMA PERFEITO foi criado para a mulher que vive suas múltiplas facetas sem precisar justificá-las, que é ao mesmo tempo delicada e intensa, rom&acirc;ntica e ousada, clássica e absolutamente inesperada. Floral, frutada na abertura e com um fundo oriental baunilhado e &acirc;mbar que envolve a pele com profundidade quente, moderna e irresistível.</p><p><strong>Família Olfativa:</strong> Oriental Floral – Feminino</p><p><strong>Notas de Topo:</strong> Pera, Tangerina, Bergamota</p><p><strong>Notas de Coração:</strong> Flor de Laranjeira, Néroli, Jasmim</p><p><strong>Notas de Fundo:</strong> Baunilha, &Acirc, mbar, Almíscar Branco, Benjoim</p>";"arabe, oriental-floral-–-feminino, perfume, alta-fixacao, lab-8";"Enigma Perfeito | Glitz Alta Perfumaria";"Compre Enigma Perfeito na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-enigma-perfeito-lab8-6f8d0df09952adb98817761131206969-1024-1024.webp";""
"perfume-lab-8-angeline-100ml";"Angeline";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334012";"";"<p>O ANGELINE foi criado para a mulher que entra em um ambiente e transforma a atmosfera sem precisar dizer uma palavra. Que carrega consigo uma feminilidade intensa, doce e absolutamente irresistível — não como performance, mas como essência. Doce sem ser ingênua, intensa sem ser exagerada, marcante sem precisar de esforço. Uma fragr&acirc;ncia que não abandona quem a usa — e que ninguém que a sentiu consegue esquecer. Um perfume para a mulher poderosa e confiante. &Acirc;mbar Baunilha – Feminino</p><p><strong>Família Olfativa:</strong> &Acirc;mbar Baunilha – Feminino</p><p><strong>Notas de Topo:</strong> Algodão-Doce, Coco, Cassis, Melão, Jasmim, Bergamota, Abacaxi, Mandarina</p><p><strong>Notas de Coração:</strong> Mel, Amora, Ameixa, Damasco, Pêssego, Jasmim, Orquídea, Noz-Moscada, Rosa, Lírio-do-Vale</p><p><strong>Notas de Fundo:</strong> Patchouli, Chocolate, Caramelo, Baunilha, Fava Tonka, &Acirc, mbar, Almíscar, S&acirc, ndalo</p>";"femininos, &acirc;mbar-baunilha-–-feminino, perfume, alta-fixacao, lab-8";"Angeline | Glitz Alta Perfumaria";"Compre Angeline na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-angeline-lab8-273e4a55dcafe8b76717761132624626-1024-1024.webp";""
"windstorm-100ml";"Windstorm";"Linha Niche";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-250827995";"";"<p>WINDSTORM – LAB 8 NICHE 🌪️ Algumas forças da natureza não pedem permissão para chegar. O WINDSTORM foi criado sob essa premissa. Uma fragr&acirc;ncia que não se anuncia — ela simplesmente irrompe, envolve e transforma o ambiente com a energia inevitável de uma tempestade que se forma no horizonte. Totalmente compartilhável, para qualquer pessoa que aprecia fragr&acirc;ncias de nicho com personalidade genuína.</p><p><strong>Família Olfativa:</strong> Cítrico Especiado Ambarado</p><p><strong>Notas de Topo:</strong> Toranja, Bergamota, Pimenta Rosa, Groselha Preta, Abacaxi, Noz-Moscada, Cravo-da-Índia</p><p><strong>Notas de Coração:</strong> Gengibre, Cidra, Canela, Cardamomo, Rosa</p><p><strong>Notas de Fundo:</strong> Patchouli, Vetiver, Musgo de Carvalho, Ambroxan, Almíscar, Evernil, S&acirc, ndalo, Fava Tonka</p>";"niche, cítrico-especiado-ambarado, perfume, alta-fixacao, lab-8";"Windstorm | Glitz Alta Perfumaria";"Compre Windstorm na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_windstorm_lab8_niche-f66c9cc0cd774e9db317646219579093-1024-1024.webp";""
"enigmatico-100ml";"Enigmático";"Linha Árabe";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-305717922";"";"<p>ENIGMÁTICO – LAB 8 💚 O poder mais sofisticado não se anuncia. Ele simplesmente é sentido. O ENIGMÁTICO foi criado para o homem que compreende essa distinção. Uma fragr&acirc;ncia moderna, marcante e envolvente que não pede licença para causar impacto — ela simplesmente chega, instala-se e permanece de forma absolutamente inegável. Oriental, amadeirada e com uma construção olfativa que desafia as convenções da perfumaria tradicional.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático</p><p><strong>Notas de Topo:</strong> Acorde Ambarado, Bergamota Italiana, Almíscar, Fava Tonka</p><p><strong>Notas de Coração:</strong> Ger&acirc, nio Africano, Cedro do Texas, S&acirc, ndalo</p><p><strong>Notas de Fundo:</strong> Baunilha, Benjoim, Madeira Guaiac, Musgo de Carvalho</p>";"arabe, amadeirado-aromático, perfume, alta-fixacao, lab-8";"Enigmático | Glitz Alta Perfumaria";"Compre Enigmático na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_enigmatico_lab8-ea70e44c28282f455d17627957853686-1024-1024.webp";""
"perfumes-femininos-perfume-lab-8-miss-sunshine-100ml";"Miss Sunshine";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334030";"";"<p>MISS SUNSHINE LAB 8 ☀️ O MISS SUNSHINE foi criado para a mulher alegre sem ser ingênua, doce sem ser óbvia, marcante sem precisar de esforço — uma fragr&acirc;ncia que sorri. E que faz todo mundo ao redor sorrir também.Delicada e sofisticada na medida certa! Chipre Frutado – Feminino</p><p><strong>Família Olfativa:</strong> Chipre Frutado – Feminino</p><p><strong>Notas de Topo:</strong> Cereja, Morango, Abacaxi, Tangerina</p><p><strong>Notas de Coração:</strong> Pipoca, Caramelo, Rosa, Jasmim</p><p><strong>Notas de Fundo:</strong> Violeta, Patchouli, Almíscar, &Acirc, mbar</p>";"femininos, chipre-frutado-–-feminino, perfume, alta-fixacao, lab-8";"Miss Sunshine | Glitz Alta Perfumaria";"Compre Miss Sunshine na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-miss-sunshine-lab8-f6efc04b06da6638b217761131528952-1024-1024.webp";""
"perfumes-unissex-perfume-lab-8-nectar-honey-100ml";"Nectar Honey";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334032";"";"<p>NECTAR HONEY – LAB 8 🍯 Há fragr&acirc;ncias que perfumam a pele. E há fragr&acirc;ncias que a transformam. O NECTAR HONEY pertence à segunda categoria. Verde e cítrica na abertura, frutada e floral no coração, e com um fundo levemente adocicado e terroso que cria uma assinatura olfativa de rara eleg&acirc;ncia.</p><p><strong>Família Olfativa:</strong> Frutado Floral Gourmand – Compartilhável</p><p><strong>Notas de Topo:</strong> Notas Verdes, Groselha Preta</p><p><strong>Notas de Coração:</strong> Petitgrain, Nectarina, Acácia</p><p><strong>Notas de Fundo:</strong> Pêssego, Ameixa, Vetiver</p>";"femininos, frutado-floral-gourmand-–-compartilhável, perfume, alta-fixacao, lab-8";"Nectar Honey | Glitz Alta Perfumaria";"Compre Nectar Honey na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_lab8_nectarhoney-8c4de9dc976ea4de6917615771782640-1024-1024.webp";""
"perfume-lab-8-the-night-100ml";"The Night";"Linha Árabe";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334034";"";"<p>A noite tem uma linguagem própria. E THE NIGHT é a fragr&acirc;ncia criada para falá-la com fluência. Não é o perfume do dia que se arrasta até o anoitecer. É o que começa exatamente onde a luz termina — intensa, sensual e com uma profundidade que só se revela quando o mundo desacelera e os sentidos aguçam. Marcante. Viciante. Absolutamente irresistível.</p><p><strong>Família Olfativa:</strong> &Acirc;mbar Baunilha – Feminino</p><p><strong>Notas de Topo:</strong> Pera, Tangerina, Bergamota</p><p><strong>Notas de Coração:</strong> Morango, Orquídea, Rosa Negra</p><p><strong>Notas de Fundo:</strong> Caramelo, Baunilha, Patchouli, Café</p>";"arabe, &acirc;mbar-baunilha-–-feminino, perfume, alta-fixacao, lab-8";"The Night | Glitz Alta Perfumaria";"Compre The Night na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-the-night-lab8-ca2d2e9dc2e0af7ae617761142778353-1024-1024.webp";""
"strategy-100ml";"Strategy";"Linha Niche";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-342457960";"";"<p>STRATEGY – LAB 8 NICHE ♟️ O STRATEGY não é por acaso. Quem realmente entende de perfumaria sabe: fixação não se mede nos primeiros minutos. Ela aparece no fim do dia, permanece na roupa e surge nos comentários inesperados de quem sentiu o perfume passar.</p><p><strong>Família Olfativa:</strong> Amadeirado Baunilha – Compartilhável</p><p><strong>Notas de Topo:</strong> Flor de Algodão, Maçã, Cipreste</p><p><strong>Notas de Coração:</strong> Raíz de Orris, Rum, Açafrão</p><p><strong>Notas de Fundo:</strong> Baunilha, Coco, Almíscar</p>";"niche, amadeirado-baunilha-–-compartilhável, perfume, alta-fixacao, lab-8";"Strategy | Glitz Alta Perfumaria";"Compre Strategy na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-strategy-lab8-niche-9670a37bcc725f939317786829597127-1024-1024.webp";""
"spicy-flame-100ml";"Perfume Masculino Spicy Flame Lab 8 Essencial";"Perfumes Masculinos";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-250827795";"";"<p>A fragrância Perfume Masculino Spicy Flame 100 ml Lab 8 Essencial da LAB 8 foi desenvolvida com matérias-primas nobres para proporcionar uma experiência olfativa sofisticada e duradoura.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático</p><p><strong>Notas de Topo:</strong> Bergamota, Cardamomo, Pimenta Rosa</p><p><strong>Notas de Coração:</strong> Lavanda, Íris, Cedro</p><p><strong>Notas de Fundo:</strong> Âmbar, Fava Tonka, Almíscar</p>";"masculinos, amadeirado-aromático, perfume, alta-fixacao, lab-8";"Perfume Masculino Spicy Flame Lab 8 Essencial | Glitz Alta Perfumaria";"Compre Perfume Masculino Spicy Flame Lab 8 Essencial na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/spicyflame-5565dd375ff15bee0917667817335453-1024-1024.webp";""
"pistacchio-intenso-100ml-fluy-parfum";"Pistacchio Intenso - FLUY";"Compartilháveis";"167.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-222571606";"";"<p>PISTACCHIO INTENSO – FLUY 🍃 Existem aromas que seduzem. E existem aromas que viciam. O PISTACCHIO INTENSO pertence à segunda categoria — e você vai entender exatamente o que isso significa no momento em que a primeira borrifada tocar a sua pele. Uma fragr&acirc;ncia gourmand frutal de autoria exclusiva da FLUY, criada por um dos perfumistas mais renomados do Brasil para celebrar o universo dos aromas doces com a sofisticação e a profundidade que essa família olfativa merece.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático</p><p><strong>Notas de Topo:</strong> Maçã, Amêndoa, Pistache, Mandarina Verde</p><p><strong>Notas de Coração:</strong> Jasmim, Pêssego, Coco</p><p><strong>Notas de Fundo:</strong> &Acirc, mbar, Musk, Musgo</p>";"compartilhaveis, amadeirado-aromático, perfume, alta-fixacao, lab-8";"Pistacchio Intenso - FLUY | Glitz Alta Perfumaria";"Compre Pistacchio Intenso - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_pistacchio_intenso_01-5c25e8158f188ccca817601320435527-1024-1024.webp";""
"chocolate-intenso-100ml-fluy";"Chocolate Intenso - FLUY";"Compartilháveis";"167.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-264508915";"";"<p>CHOCOLATE INTENSO – FLUY 🍫 Há uma linha tênue entre o irresistível e o viciante. O CHOCOLATE INTENSO foi criado para habitá-la. Não é o perfume doce que você imagina ao ouvir o nome. O protagonista é o chocolate amargo — com toda a sua complexidade, intensidade e capacidade única de despertar algo primitivo e absolutamente incontrolável em quem o sente. Uma fragr&acirc;ncia autoral da FLUY, compartilhável e magnética, para homens e mulheres que não têm medo de ser desejados.</p><p><strong>Família Olfativa:</strong> Cítrico Gourmand – Compartilhável</p><p><strong>Notas de Topo:</strong> Semente de Cacau, Lavanda, Chocolate Amargo, Toranja, Mandarina</p><p><strong>Notas de Coração:</strong> Benjoim, Gengibre, Canela, Ládano, Olíbano</p><p><strong>Notas de Fundo:</strong> Semente de Cacau, Caramelo, &Acirc, mbar, Vetiver, S&acirc, ndalo, Almíscar</p>";"compartilhaveis, cítrico-gourmand-–-compartilhável, perfume, alta-fixacao, lab-8";"Chocolate Intenso - FLUY | Glitz Alta Perfumaria";"Compre Chocolate Intenso - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/chocolate_intenso_01-51d4d147aa2182276217443151808844-1024-1024.webp";""
"perfume-fluy-afrodisia-100-ml";"Afrodisia - FLUY";"Compartilháveis";"167.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-175249311";"";"<p>Sedução não se aprende. Se desperta. O AFRODISIA foi criado para a mulher que já carrega esse despertar dentro de si — e que só precisa do perfume certo para deixá-lo fluir com toda a sua intensidade. Uma fragr&acirc;ncia autoral e exclusiva da FLUY, doce, profunda e com uma construção &acirc;mbar floral que envolve a pele como um segredo compartilhado apenas com quem está perto o suficiente para sentir. &Acirc;mbar Floral – Feminino</p><p><strong>Família Olfativa:</strong> &Acirc;mbar Floral – Feminino</p><p><strong>Notas de Topo:</strong> Amêndoa, Café, Ameixa, Damasco, Bergamota</p><p><strong>Notas de Coração:</strong> Jasmim, Flor de Laranjeira, Peônia, Lírio Branco, S&acirc, ndalo</p><p><strong>Notas de Fundo:</strong> Cacau, Baunilha, Caramelo, &Acirc, mbar, Canela, Cedro, Patchouli, Almíscar</p>";"compartilhaveis, &acirc;mbar-floral-–-feminino, perfume, alta-fixacao, lab-8";"Afrodisia - FLUY | Glitz Alta Perfumaria";"Compre Afrodisia - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_afrodisia_01-a7c0eeb73a1b16372717601319264435-1024-1024.webp";""
"perfumes-femininos-infinity-intense-woman-fluy-100ml";"Infinity Intense Women - FLUY";"Perfumes Femininos";"167.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334038";"";"<p>INFINITY INTENSE WOMEN – FLUY 🌸 Sofisticação não tem limite. E este perfume foi criado para provar isso. Floral, levemente adocicada e com uma profundidade &acirc;mbar e baunilhada que se funde à pele como uma segunda natureza — elegante sem ser distante, doce sem ser ingênua, intensa sem ser exagerada. Alta fixação. Projeção intensa. Uma assinatura olfativa que permanece muito depois da sua saída.</p><p><strong>Família Olfativa:</strong> Floral Feminino – Feminino</p><p><strong>Notas de Topo:</strong> Bergamota, Lichia, Frutas Vermelhas</p><p><strong>Notas de Coração:</strong> Rosa, Peônia, Magnólia</p><p><strong>Notas de Fundo:</strong> Almíscar, &Acirc, mbar, Baunilha</p>";"femininos, floral-feminino-–-feminino, perfume, alta-fixacao, lab-8";"Infinity Intense Women - FLUY | Glitz Alta Perfumaria";"Compre Infinity Intense Women - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume_infinity_women_01-67524fecfbaf597be617601319651190-1024-1024.webp";""
"the-wave-100ml-fluy";"The Wave - FLUY";"Perfumes Masculinos";"167.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-318953608";"";"<p>O perfume que transforma energia em presença. The Wave é aquele tipo de perfume que você sente e na hora pensa: &ldquo;isso aqui é verão, isso aqui é praia, isso aqui é liberdade&rdquo;. Uma fragr&acirc;ncia aquático amadeirada criada para o homem que carrega a energia do mar.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático</p><p><strong>Notas de Topo:</strong> Bergamota, Cardamomo, Pimenta Rosa</p><p><strong>Notas de Coração:</strong> Lavanda, Íris, Cedro</p><p><strong>Notas de Fundo:</strong> FLUY – SINTA SUA ESSÊNCIA.</p>";"masculinos, amadeirado-aromático, perfume, alta-fixacao, lab-8";"The Wave - FLUY | Glitz Alta Perfumaria";"Compre The Wave - FLUY na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/thewave_praia-1-809b21c6479b772bac17685948258644-1024-1024.webp";""
"al-zahabi-100ml";"Al Zahabi";"Linha Árabe";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-336244684";"";"<p>O ouro da perfumaria árabe Se você procura uma fragr&acirc;ncia que exala poder, sofisticação e respeito&hellip; você acabou de encontrar. O AL ZAHABI nasce da essência mais nobre da perfumaria árabe de nicho — onde intensidade, riqueza e profundidade não são exagero, são assinatura. Uma construção olfativa densa, envolvente e extremamente refinada, que combina frutas escuras, especiarias quentes e madeiras nobres em perfeita harmonia.</p><p><strong>Família Olfativa:</strong> Chipre Amadeirado – Masculino</p><p><strong>Notas de Topo:</strong> Amora, Ládano, Groselha Preta, Laranja, Alecrim, Davana</p><p><strong>Notas de Coração:</strong> Olíbano, Folha de Louro, Canela, Cravo-da-Índia, Giesta, Sementes de Salsão, Rosa</p><p><strong>Notas de Fundo:</strong> Agarwood (Oud), Opoponax, Patchouli, Mirra, Madeira Guaiac, Musgo, Almíscar, Cedro, &Acirc, mbar Cinzento, Cistus Incanus</p>";"arabe, chipre-amadeirado-–-masculino, perfume, alta-fixacao, lab-8";"Al Zahabi | Glitz Alta Perfumaria";"Compre Al Zahabi na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-alzahabi-lab8-arabe-584cbf61990f4bf08217756727047722-1024-1024.webp";""
"donatella-100-ml";"Donatella";"Perfumes Femininos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-338779306";"";"<p>Há mulheres que definem épocas. E há perfumes que as definem. O DONATELLA foi criado para a mulher que carrega em si a força de quem veio antes dela e a coragem de quem está escrevendo sua própria história. Uma fragr&acirc;ncia que nasce da eleg&acirc;ncia italiana — aquela que não precisa se reinventar a cada estação porque já encontrou sua essência e não abre mão dela. Delicada na primeira impressão, mas profundamente poderosa à medida que evolui na pele. Rica, moderna e com uma construção que revela camadas ao longo do dia — exatamente como a mulher para quem foi criada. É aquele perfume que envolve, marca presença e permanece na memória muito depois da sua saída.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático</p><p><strong>Notas de Topo:</strong> Groselha Preta, Pimenta Rosa, Bergamota</p><p><strong>Notas de Coração:</strong> Jasmim, Jasmim Sambac, Chá de Jasmim</p><p><strong>Notas de Fundo:</strong> Baunilha, Cashmeran, Madeira Guaiac</p>";"femininos, amadeirado-aromático, perfume, alta-fixacao, lab-8";"Donatella | Glitz Alta Perfumaria";"Compre Donatella na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-feminino-donatella-lab8-jpg-06915ce5c38e10829317766862176295-1024-1024.webp";""
"vanilla-100-ml";"Vanilla";"Linha Árabe";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-336245185";"";"<p>O lado quente e gourmand da perfumaria árabe Se você ama perfumes envolventes, doces na medida certa e absolutamente viciantes&hellip; esse aqui vai te conquistar no primeiro spray. O VANILLA revela o lado mais sofisticado e intenso da baunilha dentro da perfumaria árabe. Esqueça tudo que você conhece sobre fragr&acirc;ncias doces comuns — aqui, a baunilha aparece cremosa, profunda e elegante, envolvida por acordes ambarados e amadeirados que elevam a experiência a outro nível.</p><p><strong>Família Olfativa:</strong> Oriental Baunilha</p><p><strong>Notas de Topo:</strong> Orquídea Baunilha, Jasmim</p><p><strong>Notas de Coração:</strong> Açúcar Mascavo, Fava Tonka</p><p><strong>Notas de Fundo:</strong> &Acirc, mbar, Madeira de &Acirc, mbar, Almíscar, Patchouli</p>";"arabe, oriental-baunilha, perfume, alta-fixacao, lab-8";"Vanilla | Glitz Alta Perfumaria";"Compre Vanilla na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-vanilla-lab8-arabe-9ed7b66347d11a962b17756726836602-1024-1024.webp";""
"blue-savana-100-ml";"Blue Savana";"Perfumes Masculinos";"147.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-359133382";"";"<p>LANÇAMENTO: BLUE SAVANA - LAB 8 🌿 💙 Um twist moderno entre duas grandes lendas da perfumaria masculina mundial: a sofisticação das madeiras azuis e o frescor intenso das especiarias. O encontro entre eleg&acirc;ncia e intensidade.</p><p><strong>Família Olfativa:</strong> Amadeirado Aromático – Masculino</p><p><strong>Notas de Topo:</strong> Bergamota, Cardamomo, Pimenta Rosa</p><p><strong>Notas de Coração:</strong> 🪵 Notas de Fundo Vetiver, Ambroxan, Cashmeran</p><p><strong>Notas de Fundo:</strong> Existem perfumes elegantes. Existem perfumes marcantes. O BLUE SAVANA nasceu para unir os dois mundos. É o contraste entre o instinto da natureza, a sofisticação da cidade. Mais intenso. Mais marcante.</p>";"masculinos, amadeirado-aromático-–-masculino, perfume, alta-fixacao, lab-8";"Blue Savana | Glitz Alta Perfumaria";"Compre Blue Savana na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/savana_blue_lab8-jpg-bb578d024942d5b91a17863613055640-1024-1024.webp";""
"zafar-100-ml";"Zafar";"Linha Árabe";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-336245484";"";"<p>A Essência da Intensidade Árabe. Se você quer um perfume que domina o ambiente, impõe presença e não passa despercebido&hellip; esse é o seu território. O ZAFAR é a tradução máxima da perfumaria árabe intensa: uma fragr&acirc;ncia rica, opulenta e extremamente complexa, construída com camadas que evoluem na pele de forma hipnótica. Frutas densas, especiarias quentes, oud poderoso e uma base resinosa profunda criam uma assinatura marcante, exótica e sofisticada.</p><p><strong>Família Olfativa:</strong> Oriental Amadeirado – Masculino</p><p><strong>Notas de Topo:</strong> Frutas Secas, Rosa Damascena, Morango, Notas Especiadas, Maçã, Cardamomo, Abacaxi, Pêssego, Canela, Café, Groselha Preta, Pimenta, Coco, Laranja Doce, Bergamota, Cominho, Pimenta Rosa</p><p><strong>Notas de Coração:</strong> Agarwood (Oud), Rosa, Açafrão, S&acirc, ndalo, Cedro, Jasmim, Amyris, Nagarmota (Óleo de Cipriol), Íris, Coentro, Violeta, Lírio-do-Vale</p><p><strong>Notas de Fundo:</strong> Incenso, Baunilha, Couro, &Acirc, mbar Cinzento, S&acirc, ndalo, Almíscar Branco, Madeira Guaiac, &Acirc, mbar, Ládano, Bálsamo, Patchouli, Civeta, Vetiver, Musgo de Carvalho</p>";"arabe, oriental-amadeirado-–-masculino, perfume, alta-fixacao, lab-8";"Zafar | Glitz Alta Perfumaria";"Compre Zafar na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"https://acdn-us.mitiendanube.com/stores/003/165/134/products/perfume-zafar-lab8-arabe-618afb069c0c1bc76817756726650634-1024-1024.webp";""
